Timestamp (EST),baseline.out.electricity.ceiling_fan.energy_consumption.kwh,baseline.out.electricity.clothes_dryer.energy_consumption.kwh,baseline.out.electricity.clothes_washer.energy_consumption.kwh,baseline.out.electricity.cooling.energy_consumption.kwh,baseline.out.electricity.cooling_fans-pumps.energy_consumption.kwh,baseline.out.electricity.dishwasher.energy_consumption.kwh,baseline.out.electricity.freezer.energy_consumption.kwh,baseline.out.electricity.heating.energy_consumption.kwh,baseline.out.electricity.heating_fans-pumps.energy_consumption.kwh,baseline.out.electricity.heating_hp-bkup.energy_consumption.kwh,baseline.out.electricity.heating_hp-bkup-fa.energy_consumption.kwh,baseline.out.electricity.hot_water.energy_consumption.kwh,baseline.out.electricity.lighting_exterior.energy_consumption.kwh,baseline.out.electricity.lighting_garage.energy_consumption.kwh,baseline.out.electricity.lighting_interior.energy_consumption.kwh,baseline.out.electricity.mech_vent.energy_consumption.kwh,baseline.out.electricity.permanent_spa-heat.energy_consumption.kwh,baseline.out.electricity.permanent_spa-pump.energy_consumption.kwh,baseline.out.electricity.plug_loads.energy_consumption.kwh,baseline.out.electricity.pool_heater.energy_consumption.kwh,baseline.out.electricity.pool_pump.energy_consumption.kwh,baseline.out.electricity.range_oven.energy_consumption.kwh,baseline.out.electricity.refrigerator.energy_consumption.kwh,baseline.out.electricity.well_pump.energy_consumption.kwh,Total_Sum,Average kW
12:15 a.m.,14598.887671574708,68834.19458658104,1775.4466317447848,2075963.853721196,457666.8551126519,6235.4331599071975,33099.45198502304,304.40192712804924,21.336308581955,0,0,193311.77471381184,26488.84628832315,1354.321556485519,94372.14122869373,4427.389156438484,5177.204396580903,10210.00815526186,692663.6206356224,345.1738719468585,3379.2019983336254,9606.544685692214,173679.48616968788,13155.478406454313,3886671.0523677203,1.2389905922204347
12:30 a.m.,14538.680090519038,57178.29620008388,1514.701298171694,2010457.4756991935,444383.3672647605,4808.801953761616,33099.45198502306,225.65017562571327,18.384379408811053,0,0,168615.80069041552,26488.846288323148,1346.2226738822778,92879.558374184,4427.389156438486,5177.204396580903,10210.008155261865,693205.7579868713,345.1738719468586,3379.201998333626,8545.372403247395,173679.48616968794,13155.478406454313,3767680.309618176,1.2010587969021262
12:45 a.m.,14424.799540850796,47896.985146824205,1261.3652227226478,1959353.930155366,433875.5590752509,3752.936415784758,33099.451985023035,262.06571214911287,22.496896120114155,0,0,149171.90577992066,26488.84628832315,1329.7053266000692,89964.88574302578,4427.389156438483,5177.204396580903,10210.008155261865,694218.7070161,345.17387194685864,3379.201998333626,7726.182622508768,173679.4861696879,13155.478406454316,3673223.765081273,1.1709479981033497
1:00 a.m.,14385.54981591899,40451.50491751209,974.9608124906896,1903424.6784479804,422206.0111700982,3078.7780270429,33099.45198502304,291.5345435528065,25.73476715048573,0,0,132917.22973379566,26488.846288323144,1324.1883307665012,88937.56393044398,4427.389156438484,5177.204396580902,10210.00815526186,694570.5584714185,345.1738719468586,3379.2019983336263,6802.842725302288,173679.48616968797,13155.478406454316,3579353.376121523,1.1410240536166272
1:15 a.m.,14137.217722971383,33244.38245636307,742.6078233293755,1907287.38289672,424129.2561018111,2626.653490438287,29879.57847154771,591.0922792172354,35.56612100634121,0,0,118634.04710276342,26229.78296567497,1271.4572882718758,79719.033934955,4496.015202173115,6246.483971683588,12260.85043573533,692864.0070071566,345.1486417829854,3378.8235458755303,5846.350392766654,170730.75281730283,6969.328166645768,3541665.818836192,1.1290100374338459
1:30 a.m.,14118.480121268343,27124.95758994404,599.0566009464868,1853544.905182702,412868.06680899777,2262.203773292436,29879.57847154771,346.35968964889054,28.89694768923823,0,0,104984.84802953248,26229.78296567496,1271.104065977654,79447.59101189977,4496.015202173114,6246.483971683587,12260.850435735329,693382.7812266588,345.1486417829854,3378.8235458755303,5285.340878940686,170730.75281730274,6969.328166645764,3455801.35614592,1.1016382171676309
1:45 a.m.,14091.937988873917,22135.06192995649,491.31539115404433,1814127.778113602,404319.80975701456,2094.2718025535805,29879.578471547706,425.1114411512263,32.34507008521835,0,0,96027.593201058,26229.78296567497,1270.069629258859,79052.46982553895,4496.015202173116,6246.483971683586,12260.850435735329,694098.9562483035,345.1486417829855,3378.823545875531,4874.206948575117,170730.75281730277,6969.328166645764,3393577.691565547,1.0818025958892115
2:00 a.m.,14082.653288568636,17885.73045002458,405.1123312545416,1769852.1961282385,394556.2829917044,1987.337958005076,29879.578471547706,462.9566869607643,34.82603619939915,0,0,91596.8147926059,26229.78296567497,1269.7668672923828,78909.84370916472,4496.015202173115,6246.483971683586,12260.850435735329,694369.0872028377,345.1486417829856,3378.8235458755307,4631.417081624995,170730.75281730268,6969.328166645768,3330580.789742904,1.0617204825213358
2:15 a.m.,14050.930562525618,14443.8735447396,368.3267523276709,1731197.1629790307,386909.1380625549,1940.5107738567408,29789.506786521,5329.132033369639,141.74306063865566,0,0,84327.97935062346,26149.77811603362,1265.4020489423506,76642.9134851733,4270.709838786996,5202.207488979068,10267.66748976635,694360.8453493051,345.14864178298546,3378.823545875531,4305.78817662511,165235.623125754,5610.431540444604,3265533.642753656,1.0409847932683536
2:30 a.m.,14041.435610854736,12413.518157331016,366.3924397640724,1696677.6480405258,379987.06599284336,1882.052484162941,29789.506786521,584.3642355177612,43.37906175235471,0,0,80284.66897882406,26149.77811603362,1265.4020489423508,76636.66481458742,4270.709838786996,5202.207488979068,10267.66748976635,694728.8020592293,345.14864178298546,3378.823545875531,4059.449266623514,165235.623125754,5610.431540444604,3213220.7397649027,1.0243085184353393
2:45 a.m.,14030.275468368232,10676.48865511022,371.9346657615134,1654224.8865246032,371023.7306948755,1688.0913943617477,29789.506786521,949.3437861049445,57.25565188251856,0,0,77364.0336189373,26149.778116033605,1265.3936388877262,76629.129405644,4270.709838786995,5202.207488979067,10267.667489766352,695119.0790541265,345.1486417829853,3378.823545875532,4105.309294490051,165235.62312575398,5610.431540444605,3157754.8484270973,1.006627135928117
3:00 a.m.,14025.776089144205,9035.76268839276,340.20352966387225,1614013.7577883652,362320.24926469073,1430.5502916005307,29789.506786521004,859.3982518976096,57.68456466836001,0,0,76388.66071377,26149.77811603361,1265.385228833102,76625.79061395815,4270.709838786996,5202.207488979067,10267.667489766354,695304.5543988121,345.1486417829853,3378.8235458755307,4570.065733140424,165235.62312575395,5610.431540444605,3106487.735730881,0.9902842374772122
3:15 a.m.,13997.308054240804,7759.503258930408,309.5657006673952,1586719.1273463748,357199.02219168947,1180.3175263078665,29789.506786521,5738.533492482593,137.99217627619927,0,0,74577.16858790528,26147.05325833533,1265.2927182322344,76568.75362349587,4222.772527428251,6246.483971683589,12260.85043573533,694722.7720500639,455.4044579081055,4507.368775915948,5328.728350747668,162138.11590706315,4356.996999232692,3075628.638197238,0.9804469934672504
3:30 a.m.,13993.716960916216,7099.044849171606,307.25293564570126,1560264.9893534863,351504.27985363547,1008.2309885845854,29789.506786521,1035.664586769188,68.24759327653321,0,0,73241.34915159333,26147.05325833533,1265.2927182322344,76568.75362349587,4222.772527428251,6246.483971683589,12260.85043573533,694957.1939126626,455.4044579081055,4507.368775915948,6462.984007878013,162138.11590706315,4356.996999232692,3037901.5536551713,0.9684203768100341
3:45 a.m.,13994.776627798885,6696.421894085869,430.3677252914397,1526074.1309396443,344157.7691471428,993.6815940844746,29789.506786521004,1628.5986679491534,81.22430756189252,0,0,80303.33930009008,26147.053258335327,1265.292718232234,76568.75362349585,4222.772527428251,6246.483971683587,12260.850435735329,694857.7366066757,455.4044579081055,4507.368775915949,9677.239604864431,162138.11590706313,4356.996999232692,3006853.8858767403,0.9585230204941639
4:00 a.m.,13994.692527252631,6884.058622809555,664.6045666886064,1492567.5818504763,336717.2172098405,1150.3440916267116,29789.506786521004,1481.3133813130569,85.34523432781997,0,0,85381.10321079283,26147.05325833533,1265.2927182322344,76568.75362349587,4222.772527428252,6246.483971683587,12260.850435735323,694870.6292204147,455.4044579081055,4507.368775915949,14009.754935085695,162138.1159070631,4356.996999232691,2975765.2443121797,0.9486126025801142
4:15 a.m.,13996.576379488492,8121.556110508319,807.3400137729343,1414995.0545673475,319323.90386812564,1339.9824133509942,29789.506786521004,7448.482618813005,183.24668020978223,0,0,86574.43109160449,26227.058107976674,1265.292718232234,76704.0714024015,4447.068684259443,10082.225785299604,19774.140935483498,693245.8991775926,912.0704240098624,8902.715624235674,17677.909590202464,157392.57438418356,4655.217536211853,2903866.324899831,0.9256927095553501
